ID,KIDSDRIV,PLCYDATE,TRAVTIME,CAR_USE,POLICYNO,BLUEBOOK,INITDATE,RETAINED,NPOLICY,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CLM_FLAG,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,GENDER,MARRIED,PARENT1,JOBCLASS,MAX_EDUC,HOME_VAL,SAMEHOME,DENSITY,YEARQTR,Year,Quarter,plc_year,plc_day,plc_month,ini_year,ini_day,ini_month,birth_year,birth_day,birth_month
100058542,0,17mars96,17,Private,36292520,9860.0,06février90,6,2,Pickup,yes,0.0,0,No,0,3336.0,Yes,29novembre56,41-60,0,13.0,61610.074431993424,M,Yes,No,Clerical,<High School,123721.0,7.0,Highly Urban,1996Q1,1996,1,96,17,3,90,06,2,56,29,11
100093408,0,26juillet93,18,Private,31958061,1500.0,25aoűt89,4,2,Sedan,yes,0.0,0,No,4,5583.0,Yes,13avril64,25-40,2,12.0,4457.0,M,No,Yes,Student,High School,0.0,1.0,Urban,1993Q3,1993,3,93,26,7,89,25,8,64,13,4
100208113,0,06juin94,47,Commercial,42433312,30460.0,07juin90,4,1,Panel Truck,yes,5705.0,2,No,0,39104.0,Yes,04novembre41,41-60,0,13.0,102904.0,M,No,No,Blue Collar,Masters,0.0,18.0,Urban,1994Q2,1994,2,94,06,6,90,07,6,41,04,11
100237269,0,19janvier99,31,Private,49896544,16580.0,01avril95,4,2,SUV,no,0.0,0,No,0,0.0,No,06février54,41-60,3,14.0,14554.0,F,Yes,No,Student,High School,0.0,8.0,Rural,1999Q1,1999,1,99,19,1,95,01,4,54,06,2
10042968,0,18mai99,14,Commercial,79298192,23030.0,19mai95,4,1,Pickup,no,6980.0,2,No,2,0.0,No,16mars50,41-60,0,13.0,99493.0,F,Yes,No,Blue Collar,High School,288808.0,1.0,Urban,1999Q2,1999,2,99,18,5,95,19,5,50,16,3
100737644,0,28février96,46,Private,43393435,20730.0,02mars87,9,1,SUV,no,0.0,0,No,0,0.0,No,19aoűt61,25-40,0,10.0,95197.0,F,Yes,No,Manager,Bachelors,281124.0,11.0,Urban,1996Q1,1996,1,96,28,2,87,02,3,61,19,8
10078597,1,08mai94,9,Commercial,24163158,27420.0,10mai84,10,1,Van,no,0.0,0,No,8,5342.0,Yes,18juillet39,41-60,1,7.0,102339.0,F,No,Yes,Clerical,PhD,0.0,11.0,Highly Urban,1994Q2,1994,2,94,08,5,84,10,5,39,18,7
100818915,0,12octobre97,6,Private,3590540,24360.0,27septembre91,6,3,Sedan,no,0.0,0,No,0,0.0,No,15juin56,41-60,0,11.0,142297.0,F,No,No,Lawyer,PhD,0.0,8.301128714921818,Highly Urban,1997Q4,1997,4,97,12,10,91,27,9,56,15,6
100818915,0,23aoűt97,6,Commercial,83424321,36460.0,25septembre97,1,3,Pickup,no,4289.0,2,No,0,0.0,No,15juin56,41-60,0,11.0,142297.0,F,No,No,Blue Collar,PhD,0.0,8.301128714921818,Highly Urban,1997Q3,1997,3,97,23,8,97,25,9,56,15,6
100818915,0,18septembre97,6,Private,97035596,20030.0,26septembre93,4,3,SUV,no,0.0,0,No,2,0.0,No,15juin56,41-60,0,11.0,142297.0,F,No,No,Clerical,PhD,0.0,8.301128714921818,Highly Urban,1997Q3,1997,3,97,18,9,93,26,9,56,15,6
